,File name,Path,Rule,false-positive,true-positive
0,ShipEngine API,/v1/batches,"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
1,ShipEngine API,/v1/batches/{batch_id}/errors,"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
2,ShipEngine API,/v1/connections/carriers/{carrier_name}/{carrier_id}/settings,"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
3,ShipEngine API,/v1/connections/carriers/{carrier_name}/{carrier_id}/settings,"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
4,ShipEngine API,/v1/connections/insurance/shipsurance,"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
5,ShipEngine API,/v1/environment/webhooks,"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
6,ShipEngine API,/v1/environment/webhooks/{webhook_id},"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
7,ShipEngine API,/v1/labels/{label_id}/return,"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
8,ShipEngine API,/v1/manifests,"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
9,ShipEngine API,/v1/manifests,"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
10,ShipEngine API,/v1/manifests/{manifest_id},"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
11,ShipEngine API,/v1/shipments/{shipment_id}/errors,"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
12,ShipEngine API,/v1/tags/{tag_name},"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
13,ShipEngine API,/v1/warehouses/{warehouse_id},"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
14,HERE Network Positioning API v2,/health,"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
15,HERE Network Positioning API v2,/version,"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
16,Diagnostics API Client,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Web/hostingEnvironments/{name}/detectors,"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
17,Diagnostics API Client,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Web/hostingEnvironments/{name}/detectors/{detectorName} ,"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
18,Diagnostics API Client,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Web/sites/{siteName}/detectors/{detectorName},"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
19,Diagnostics API Client,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Web/sites/{siteName}/diagnostics,"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
20,Diagnostics API Client,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Web/sites/{siteName}/diagnostics/{diagnosticCategory}/analyses,"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
21,Diagnostics API Client,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Web/sites/{siteName}/diagnostics/{diagnosticCategory}/analyses/{analysisName}/execute,"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
22,Diagnostics API Client,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Web/sites/{siteName}/diagnostics/{diagnosticCategory}/detectors,"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
23,Diagnostics API Client,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Web/sites/{siteName}/diagnostics/{diagnosticCategory}/detectors/{detectorName},"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
24,Diagnostics API Client,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Web/sites/{siteName}/diagnostics/{diagnosticCategory}/detectors/{detectorName}/execute,"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
25,Diagnostics API Client,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Web/sites/{siteName}/slots/{slot}/detectors,"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
26,Diagnostics API Client,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Web/sites/{siteName}/slots/{slot}/detectors/{detectorName},"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
27,Diagnostics API Client,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Web/sites/{siteName}/slots/{slot}/diagnostics,"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
28,Diagnostics API Client,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Web/sites/{siteName}/slots/{slot}/diagnostics/{diagnosticCategory}/analyses,"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
29,Diagnostics API Client,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Web/sites/{siteName}/slots/{slot}/diagnostics/{diagnosticCategory}/analyses/{analysisName}/execute,"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
30,Diagnostics API Client,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Web/sites/{siteName}/slots/{slot}/diagnostics/{diagnosticCategory}/detectors,"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
31,Diagnostics API Client,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Web/sites/{siteName}/slots/{slot}/diagnostics/{diagnosticCategory}/detectors/{detectorName}/execute,"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
32,DataBoxEdgeManagementClient,/providers/Microsoft.DataBoxEdge/operations,"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
33,DataBoxEdgeManagementClient,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.DataBoxEdge/dataBoxEdgeDevices/{deviceName},"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
34,DataBoxEdgeManagementClient,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.DataBoxEdge/dataBoxEdgeDevices/{deviceName}/alerts,"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
35,DataBoxEdgeManagementClient,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.DataBoxEdge/dataBoxEdgeDevices/{deviceName}/bandwidthSchedules/{name},"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
36,DataBoxEdgeManagementClient,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.DataBoxEdge/dataBoxEdgeDevices/{deviceName}/downloadUpdates,"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
37,DataBoxEdgeManagementClient,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.DataBoxEdge/dataBoxEdgeDevices/{deviceName}/jobs/{name},"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
38,DataBoxEdgeManagementClient,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.DataBoxEdge/dataBoxEdgeDevices/{deviceName}/securitySettings/default/update,"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
39,DataBoxEdgeManagementClient,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.DataBoxEdge/dataBoxEdgeDevices/{deviceName}/storageAccountCredentials/{name},"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
