,File name,Path,Rule,false-positive,true-positive
0,ShipEngine API,/v1/addresses/recognize,Hyphens (-) should be used to improve the readability of URIs,0,1
1,ShipEngine API,/v1/batches,"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
2,ShipEngine API,/v1/batches/external_batch_id/{external_batch_id},Underscores (_) should not be used in URI,0,1
3,ShipEngine API,/v1/batches/{batch_id}/add,Hyphens (-) should be used to improve the readability of URIs,0,1
4,ShipEngine API,/v1/batches/{batch_id}/errors,"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
5,ShipEngine API,/v1/carriers/{carrier_id}/services,Hyphens (-) should be used to improve the readability of URIs,0,1
6,ShipEngine API,/v1/connections/carriers/{carrier_name},Hyphens (-) should be used to improve the readability of URIs,0,1
7,ShipEngine API,/v1/connections/carriers/{carrier_name}/{carrier_id}/settings,"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
8,ShipEngine API,/v1/connections/carriers/{carrier_name}/{carrier_id}/settings,"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
9,ShipEngine API,/v1/connections/insurance/shipsurance,"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
10,ShipEngine API,/v1/environment/webhooks,"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
11,ShipEngine API,/v1/environment/webhooks/{webhook_id},"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
12,ShipEngine API,/v1/environment/webhooks/{webhook_id},A singular noun should be used for document names,1,0
13,ShipEngine API,/v1/insurance/shipsurance/add_funds,Underscores (_) should not be used in URI,0,1
14,ShipEngine API,/v1/labels/external_shipment_id/{external_shipment_id},A singular noun should be used for document names,1,0
15,ShipEngine API,/v1/labels/rates/{rate_id},Hyphens (-) should be used to improve the readability of URIs,0,1
16,ShipEngine API,/v1/labels/{label_id}/return,"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
17,ShipEngine API,/v1/labels/{label_id}/return,A plural noun should be used for collection or store names,0,1
18,ShipEngine API,/v1/manifests,"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
19,ShipEngine API,/v1/manifests,"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
20,ShipEngine API,/v1/manifests/{manifest_id},"401 (""Unauthorized"") must be used when there is a problem with the client's credentials",0,1
21,ShipEngine API,/v1/shipments/recognize,Hyphens (-) should be used to improve the readability of URIs,0,1
