rule;appearances
Content-Type must be used;38059
GET must be used to retrieve a representation of a resource;3571
A plural noun should be used for collection or store names;15934
A singular noun should be used for document names;6580
Hyphens (-) should be used to improve the readability of URIs;25847
Lowercase letters should be preferred in URI paths;14434
Description of request should match with the type of the request.;7134
CRUD function names should not be used in URIs;1975
GET and POST must not be used to tunnel other request methods;440
Forward slash separator (/) must be used to indicate a hierarchical relationship;14404
401 ("Unauthorized") must be used when there is a problem with the client's credentials;34276
Underscores (_) should not be used in URI;3944
File extensions should not be included in URIs;1152
A trailing forward slash (/) should not be included in URIs;1177
A verb or verb phrase should be used for controller names;134
