filename;violations
Report_1Forge-Finance-API.md;2
Report_1Password-Connect.md;2
Report_425.md;0
Report_432.md;7
Report_433.md;6
Report_434.md;1
Report_435.md;46
Report_436.md;2
Report_437.md;54
Report_438.md;2
Report_439.md;7
Report_440.md;7
Report_500,000-Recipe-and-Grocery-List-API-(v2).md;80
Report_Abusive-Experience-Report-API.md;4
Report_Accelerated-Mobile-Pages-(AMP)-URL-API.md;5
Report_Access-Analyzer.md;65
Report_Access-Approval-API.md;20
Report_Access-Context-Manager-API.md;18
Report_Account-and-Transaction-API-Specificati.md;259
Report_Account-and-Transaction-API-Specification---UK.md;98
Report_Account-API.md;149
Report_Account-API404.md;149
Report_Account-API427.md;5
Report_Account-API456.md;11
Report_Accountants-General,-Tripura.md;4
Report_Accounts-API.md;15
Report_ACE-Provisioning-ManagementPartner.md;11
Report_Acko-General-Insurance-Limited.md;6
Report_Active-Documentation-for-v1.md;67
Report_Ad-Exchange-Buyer-API-II.md;135
Report_Ad-Exchange-Buyer-API.md;70
Report_Ad-Experience-Report-API.md;4
Report_Adafruit-IO-REST-API.md;303
Report_ADHybridHealthService.md;289
Report_Admin-SDK-API.md;26
Report_AdMob-API.md;25
Report_Adobe-Experience-Manager-(AEM)-API.md;273
Report_AdSense-Host-API.md;39
Report_AdSense-Management-API.md;77
Report_AdvisorManagementClient.md;52
Report_Adyen-BinLookup-API.md;9
Report_Adyen-Checkout-API.md;20
Report_Adyen-Checkout-Utility-Service.md;7
Report_Adyen-Payment-API.md;18
Report_Adyen-Payout-API.md;13
Report_Adyen-Recurring-API.md;10
Report_Adyen-Test-Cards-API.md;3
Report_Afterbanks-API.md;2
Report_agentOS-Api-V2,-Customer-Login-Call-Group.md;57
Report_agentOS-API-V3,-Diary-Call-Group.md;12
Report_agentOS-API-V3,-Maintenance-Call-Group.md;3
Report_Agricultural-Scientists-Recruitment-Board.md;2
Report_AI-Platform-Training--Prediction-API.md;99
Report_AIception-Interactive.md;34
Report_AIIMS,-Patna.md;3
Report_AIIMS-Mangalagiri.md;3
Report_AIIMS-Rishikesh.md;2
Report_Airbyte-Configuration-API.md;315
Report_Airports-API-v2.md;9
Report_airportsapi.md;3
Report_Akeneo-PIM-REST-API.md;246
Report_AltoroJ-REST-API.md;55
Report_Amazon-API-Gateway.md;227
Report_Amazon-AppConfig.md;56
Report_Amazon-Appflow.md;34
Report_Amazon-AppIntegrations-Service.md;17
Report_Amazon-AppStream.md;214
Report_Amazon-Athena.md;155
Report_Amazon-Augmented-AI-Runtime.md;8
Report_Amazon-Chime-SDK-Identity.md;23
Report_Amazon-Chime-SDK-Messaging.md;88
Report_Amazon-CloudDirectory.md;295
Report_Amazon-CloudFront.md;239
Report_Amazon-CloudHSM.md;81
Report_Amazon-CloudSearch-Domai.md;15
Report_Amazon-CloudSearch.md;165
Report_Amazon-CloudWatch-Application-Insight.md;120
Report_Amazon-CloudWatch-Event.md;231
Report_Amazon-CloudWatch-Log.md;247
Report_Amazon-CloudWatch.md;250
Report_Amazon-CodeGuru-Profiler.md;92
Report_Amazon-CodeGuru-Reviewer.md;34
Report_Amazon-Cognito-Identity.md;105
Report_Amazon-Cognito-Sync.md;43
Report_Amazon-Comprehend.md;334
Report_Amazon-Connect-Contact-Le.md;2
Report_Amazon-Connect-Customer-Profile.md;62
Report_Amazon-Connect-Participant-Service.md;35
Report_Amazon-Data-Lifecycle-Manager.md;11
Report_Amazon-Detective.md;35
Report_Amazon-DevOps-Guru.md;35
Report_Amazon-DocumentDB-with-MongoDB-compatibility.md;344
Report_Amazon-DynamoDB-Accelerator-(DAX).md;94
Report_Amazon-DynamoDB-Stream.md;23
Report_Amazon-DynamoDB.md;270
Report_Amazon-EC2-Container-Registry.md;185
Report_Amazon-EC2-Container-Service.md;226
Report_Amazon-Elastic-Block-Store.md;18
Report_Amazon-Elastic-Container-Registry-Public.md;103
Report_Amazon-Elastic-File-System.md;92
Report_Amazon-Elastic-Inference.md;10
Report_Amazon-Elastic-Kubernetes-Service.md;68
Report_Amazon-Elastic-Transcoder.md;47
Report_Amazon-ElastiCache.md;421
Report_Amazon-Elasticsearch-Service.md;179
Report_Amazon-EMR-Container.md;27
Report_Amazon-EMR.md;241
Report_Amazon-EventBridge.md;231
Report_Amazon-Forecast-Query-Service.md;4
Report_Amazon-Forecast-Service.md;159
Report_Amazon-Fraud-Detector.md;263
Report_Amazon-FSx.md;143
Report_Amazon-Glacier.md;101
Report_Amazon-GuardDuty.md;125
Report_Amazon-HealthLake.md;58
Report_Amazon-Honeycode.md;26
Report_Amazon-ImportExport-Snowball.md;111
Report_Amazon-Inspector.md;176
Report_Amazon-Interactive-Video-Service.md;108
Report_Amazon-Kinesi.md;150
Report_Amazon-Kinesis-Analytic.md;101
Report_Amazon-Kinesis-Analytics2.md;170
Report_Amazon-Kinesis-Firehose.md;62
Report_Amazon-Kinesis-Video-Signaling-Channel.md;6
Report_Amazon-Kinesis-Video-Stream.md;73
Report_Amazon-Kinesis-Video-Streams-Archived-Media.md;23
Report_Amazon-Kinesis-Video-Streams-Media.md;5
Report_Amazon-Lex-Model-Building-Service.md;109
Report_Amazon-Lex-Model-Building-V2.md;120
Report_Amazon-Lex-Runtime-Service.md;13
Report_Amazon-Lex-Runtime-V2.md;11
Report_Amazon-Location-Service.md;124
Report_Amazon-Lookout-for-Equipment.md;102
Report_Amazon-Lookout-for-Metric.md;92
Report_Amazon-Lookout-for-Visi.md;63
Report_Amazon-Machine-Learning.md;152
Report_Amazon-Macie.md;34
Report_Amazon-Managed-Blockchai.md;26
Report_Amazon-Mechanical-Turk.md;164
Report_Amazon-MemoryDB.md;159
Report_Amazon-Mobile-Analytic.md;6
Report_Amazon-Neptune.md;416
Report_Amazon-OpenSearch-Service.md;151
Report_Amazon-Personalize-Event.md;7
Report_Amazon-Personalize-Runtime.md;3
Report_Amazon-Personalize.md;218
Report_Amazon-Pinpoint-Email-Service.md;147
Report_Amazon-Pinpoint-SMS-and-Voice-Service.md;18
Report_Amazon-Pinpoint.md;216
Report_Amazon-Polly.md;21
Report_Amazon-Prometheus-Service.md;18
Report_Amazon-QLDB-Sessi.md;4
Report_Amazon-QuickSight.md;146
Report_Amazon-Rekogniti.md;209
Report_Amazon-Route-53-Domai.md;149
Report_Amazon-Route-53-Resolver.md;274
Report_Amazon-Route-53.md;174
Report_Amazon-S3-on-Outpost.md;13
Report_Amazon-Sagemaker-Edge-Manager.md;9
Report_Amazon-SageMaker-Feature-Store-Runtime.md;23
Report_Amazon-SageMaker-Runtime.md;6
Report_Amazon-SageMaker-Service.md;1001
Report_Amazon-Simple-Email-Service3.md;248
Report_Amazon-Simple-Notification-Service.md;280
Report_Amazon-Simple-Queue-Service.md;221
Report_Amazon-Simple-Storage-Service.md;303
Report_Amazon-Simple-Workflow-Service.md;168
Report_Amazon-SimpleDB.md;86
Report_Amazon-Textract.md;29
Report_Amazon-Timestream-Query.md;15
Report_Amazon-Timestream-Write.md;81
Report_Amazon-Transcribe-Service.md;178
Report_Amazon-Translate.md;77
Report_Amazon-WorkDoc.md;93
Report_Amazon-WorkLink.md;120
Report_Amazon-WorkMail-Message-Flow.md;3
Report_Amazon-WorkMail.md;239
Report_Amazon-WorkSpace.md;227
Report_AmazonApiGatewayManagementApi.md;7
Report_AmazonApiGatewayV2.md;119
Report_AmazonMQ.md;42
Report_AmazonMWAA.md;17
Report_AmazonNimbleStudi.md;120
Report_AmplifyBackend.md;66
Report_Analytics-Hub-API.md;40
Report_Analytics-Reporting-API.md;12
Report_Andaman-Law-College,-Andaman--Nicobar.md;2
Report_Android-Device-Provisioning-Partner-API.md;52
Report_Android-Management-API.md;39
Report_Annunciator-content-API.md;7
Report_Anomaly-Detector-Client.md;8
Report_Anomaly-Finder-Client.md;5
Report_Antyodaya-Saral-Haryana,-Haryana.md;2
Report_API-Client.md;64
Report_API-Discovery-Service.md;1
Report_API-docs-logoraisr.com.md;36
Report_Api-Documentati.md;11
Report_Api-Documentation450.md;31
Report_Api-Documentation451.md;7
Report_Api-Documentation452.md;8
Report_Api-Documentation453.md;7
Report_Api-Documentation454.md;8
Report_Api-Documentation455.md;8
Report_API-Endpoint.md;115
Report_API-for-the-COVID-19-Tracking-QR-Code-Signin-Server.md;19
Report_API-for-the-Settlement-Currency-Rate-converter.md;9
Report_API-Gateway-API.md;31
Report_API-iSendPr.md;11
Report_API-Keys-API.md;22
Report_API-v1.0.0.md;116
Report_API-v1.md;33
Report_api.clarify.i.md;71
Report_api.datumbox.com.md;71
Report_api.ecota.co-v2.md;36
Report_API.md;80
Report_api.vide.md;61
Report_Api2Pdf---PDF-Generation,-Powered-by-AWS-Lambda.md;9
Report_Apicurio-Registry-API-[v2].md;47
Report_ApiDapp.md;35
Report_Apigee-Registry-API.md;82
Report_ApiManagementClient.md;19
Report_ApiManagementClient10.md;19
Report_ApiManagementClient11.md;16
Report_ApiManagementClient12.md;11
Report_ApiManagementClient13.md;11
Report_ApiManagementClient14.md;55
Report_ApiManagementClient15.md;11
Report_ApiManagementClient16.md;11
Report_ApiManagementClient17.md;11
Report_ApiManagementClient18.md;20
Report_ApiManagementClient19.md;21
Report_ApiManagementClient20.md;6
Report_ApiManagementClient21.md;11
Report_ApiManagementClient22.md;21
Report_ApiManagementClient23.md;8
Report_ApiManagementClient24.md;31
Report_ApiManagementClient25.md;19
Report_ApiManagementClient26.md;11
Report_ApiManagementClient27.md;5
Report_ApiManagementClient28.md;5
Report_ApiManagementClient29.md;54
Report_ApiManagementClient30.md;5
Report_ApiManagementClient31.md;11
Report_ApiManagementClient32.md;8
Report_ApiManagementClient33.md;3
Report_ApiManagementClient34.md;43
Report_ApiManagementClient35.md;32
Report_ApiManagementClient36.md;5
Report_ApiManagementClient37.md;12
Report_ApiManagementClient38.md;61
Report_ApiManagementClient39.md;34
Report_ApiManagementClient40.md;11
Report_ApiManagementClient7.md;152
Report_ApiManagementClient8.md;5
Report_ApiManagementClient9.md;13
Report_APIMATIC-API-Transformer.md;1
Report_apis-jsonAccounting.md;254
Report_apis-jsonAdvicent.FactFinder.md;842
Report_apis-jsonAGCO-API.md;489
Report_apis-jsonAlexa-For-Busine.md;424
Report_apis-jsonAmazon-Chime.md;395
Report_apis-jsonAmazon-Cognito-Iden.md;446
Report_apis-jsonAmazon-Connect-Serv.md;288
Report_apis-jsonAmazon-GameLift.md;405
Report_apis-jsonAmazon-Lightsail.md;819
Report_apis-jsonAmazon-Redshift.md;757
Report_apis-jsonAmazon-Relational-D.md;885
Report_apis-jsonAmazon-Simple-Email.md;248
Report_apis-jsonAmazon-Simple-Syste.md;594
Report_apis-jsonAnchore-Engine-API-.md;366
Report_apis-jsonApacta.md;223
Report_apis-jsonApigee-API.md;323
Report_apis-jsonApp-Store-Connect-A.md;646
Report_apis-jsonAsana.md;179
Report_apis-jsonAWS-CodeCommit.md;423
Report_apis-jsonAWS-Config.md;406
Report_apis-jsonAWS-Device-Farm.md;436
Report_apis-jsonAWS-Identity-and-Ac.md;1235
Report_apis-jsonAWS-IoT.md;522
Report_apis-jsonAWS-OpsWork.md;420
Report_apis-jsonAWS-Service-Catalog.md;389
Report_apis-jsonAWS-Storage-Gateway.md;480
Report_apis-jsonAWS-WAF-Regional.md;405
Report_apis-jsonAWS-WAF.md;385
Report_apis-jsonBig-Red-Cloud-API.md;144
Report_apis-jsonBillingManagementCl.md;396
Report_apis-jsonBioLink-API.md;586
Report_apis-jsonBitbucket-API.md;615
Report_apis-jsonBox-Platform-API.md;467
Report_apis-jsonBudgea-API-Document.md;314
Report_apis-jsonBungie.Net-API.md;526
Report_apis-jsonbunq-API.md;311
Report_apis-jsonCallFire-API-Docume.md;145
Report_apis-jsonCampaign-Manager-36.md;357
Report_apis-jsonClearBlade-API.md;508
Report_apis-jsonClever-Cloud-API.md;494
Report_apis-jsonClickMeter-API.md;342
Report_apis-jsonClickSend-REST-API-.md;219
Report_apis-jsonComputeManagementCl.md;431
Report_apis-jsonContent-API-for-Sho.md;367
Report_apis-jsonDevTestLabsClient.md;371
Report_apis-jsonDisplay--Video-360.md;322
Report_apis-jsonDocker-Engine-API.md;470
Report_apis-jsonDocuSign-REST-API.md;730
Report_apis-jsonEmail-Activity-(bet.md;453
Report_apis-jsonEVE-Swagger-Interfa.md;504
Report_apis-jsonFigshare-API.md;548
Report_apis-jsonFiles.com-API.md;2436
Report_apis-jsonFisheye-Crucible.md;286
Report_apis-jsonGitea-API.md;896
Report_apis-jsonHERE-Tracking.md;334
Report_apis-jsonHetzner-Cloud-API.md;161
Report_apis-jsonIllumiDesk.md;378
Report_apis-jsonInflux-OSS-API-Serv.md;604
Report_apis-jsoniQualify-Management.md;57
Report_apis-jsonJumpseller-API.md;281
Report_apis-jsonJust-Eat-UK.md;212
Report_apis-jsonLogicManagementClie.md;318
Report_apis-jsonLUIS-Authoring-Clie.md;217
Report_apis-jsonMandrill.md;389
Report_apis-jsonMotaWord-API.md;308
Report_apis-jsonNamSor-API-v2.md;374
Report_apis-jsonNBA-Stats-API.md;457
Report_apis-jsonNetBox-API.md;750
Report_apis-jsonNetlifys-API-docum.md;172
Report_apis-jsonNFL-v3-Stat.md;153
Report_apis-jsonNoosh-API-applicati.md;147
Report_apis-jsonOOXML-Automati.md;551
Report_apis-jsonOpenFEC.md;294
Report_apis-jsonOrthanc-API.md;238
Report_apis-jsonOSF-APIv2-Documenta.md;192
Report_apis-jsonPeerTube.md;362
Report_apis-jsonPowerTools-Developer.md;268
Report_apis-jsonProbely-Developer.md;235
Report_apis-jsonRat-Genome-Database.md;714
Report_apis-jsonRebilly-REST-API.md;100
Report_apis-jsonREST-API-Version-2.md;609
Report_apis-jsonreverb.md;526
Report_apis-jsonRocket-Service.md;1029
Report_apis-jsonRudder-API.md;229
Report_apis-jsonShutterstock-API-Ex.md;571
Report_apis-jsonSIGNL4-API.md;233
Report_apis-jsonSiteRecoveryManagem.md;505
Report_apis-jsonSlicebox-API.md;223
Report_apis-jsonSnyk-API.md;144
Report_apis-jsonspoonacular-API.md;389
Report_apis-jsonStackExchange.md;1354
Report_apis-jsonStripe-API.md;1128
Report_apis-jsonSuperset.md;163
Report_apis-jsonSwagger-API2Cart.md;622
Report_apis-jsonTelegram-Bot-API.md;192
Report_apis-jsonTelnyx-API.md;854
Report_apis-jsonThe-Plaid-API.md;328
Report_apis-jsonTransport-for-Londo.md;216
Report_apis-jsonTrell.md;1357
Report_apis-jsonTwilio---Api.md;976
Report_apis-jsonTwilio---Preview.md;390
Report_apis-jsonTwitter-API.md;498
Report_apis-jsonVelo-Payments-API.md;285
Report_apis-jsonVime.md;593
Report_apis-jsonVocaDB.md;256
Report_apis-jsonvRealize-Network-In.md;714
Report_apis-jsonWebApps-API-Client.md;1216
Report_apis-jsonWebSite-Management-.md;807
Report_apis-jsonXero-Accounting-API.md;522
Report_apis-jsonZoom-API.md;1264
Report_APIs.guru.md;6
Report_APOD.md;3
Report_App-Center-Client.md;1359
Report_App-Engine-Admin-API.md;86
Report_AppConfigurationManagementClient.md;58
Report_Application-Auto-Scaling.md;41
Report_Application-Insights-Data-Plane.md;18
Report_Application-Integration-API.md;156
Report_Application-Migration-Service.md;95
Report_ApplicationClient.md;56
Report_ApplicationInsightsManagementClient.md;4
Report_ApplicationInsightsManagementClient42.md;11
Report_ApplicationInsightsManagementClient43.md;8
