,File name,Path,Rule,false-positive,true-positive
0,Diagnostics API Client,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Web/hostingEnvironments/{name}/detectors,Forward slash separator (/) must be used to indicate a hierarchical relationship,0,1
1,Diagnostics API Client,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Web/hostingEnvironments/{name}/detectors/{detectorName},Forward slash separator (/) must be used to indicate a hierarchical relationship,0,1
2,Diagnostics API Client,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Web/sites/{siteName}/detectors/{detectorName},Forward slash separator (/) must be used to indicate a hierarchical relationship,0,1
3,Diagnostics API Client,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Web/sites/{siteName}/diagnostics/{diagnosticCategory},Forward slash separator (/) must be used to indicate a hierarchical relationship,0,1
4,Diagnostics API Client,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Web/sites/{siteName}/diagnostics/{diagnosticCategory}/analyses/{analysisName}/execute,Forward slash separator (/) must be used to indicate a hierarchical relationship,0,1
5,Diagnostics API Client,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Web/sites/{siteName}/diagnostics/{diagnosticCategory}/detectors,Forward slash separator (/) must be used to indicate a hierarchical relationship,0,1
6,Diagnostics API Client,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Web/sites/{siteName}/diagnostics/{diagnosticCategory}/detectors/{detectorName}/execute,Forward slash separator (/) must be used to indicate a hierarchical relationship,0,1
7,Diagnostics API Client,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Web/sites/{siteName}/slots/{slot}/detectors,Forward slash separator (/) must be used to indicate a hierarchical relationship,0,1
8,Diagnostics API Client,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Web/sites/{siteName}/slots/{slot}/diagnostics,Forward slash separator (/) must be used to indicate a hierarchical relationship,0,1
9,Diagnostics API Client,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Web/sites/{siteName}/slots/{slot}/diagnostics/{diagnosticCategory}/analyses,Forward slash separator (/) must be used to indicate a hierarchical relationship,0,1
