,File name,Path,Rule,false-positive,true-positive
0,ShipEngine API,/v1/addresses/recognize,Hyphens (-) should be used to improve the readability of URIs,0,1
1,ShipEngine API,/v1/batches/{batch_id}/add,Hyphens (-) should be used to improve the readability of URIs,0,1
2,ShipEngine API,/v1/carriers/{carrier_id}/services,Hyphens (-) should be used to improve the readability of URIs,0,1
3,ShipEngine API,/v1/connections/carriers/{carrier_name},Hyphens (-) should be used to improve the readability of URIs,0,1
4,ShipEngine API,/v1/labels/rates/{rate_id},Hyphens (-) should be used to improve the readability of URIs,0,1
5,ShipEngine API,/v1/shipments/recognize,Hyphens (-) should be used to improve the readability of URIs,0,1
6,ShipEngine API,/v1/shipments/{shipment_id}/errors ,Hyphens (-) should be used to improve the readability of URIs,0,1
7,ShipEngine API,/v1/tracking/start ,Hyphens (-) should be used to improve the readability of URIs,0,1
8,ShipEngine API,/v1/tracking/stop,Hyphens (-) should be used to improve the readability of URIs,0,1
9,ShipEngine API,/v1/warehouses,Hyphens (-) should be used to improve the readability of URIs,0,1
10,ShipEngine API,/v1/warehouses/{warehouse_id},Hyphens (-) should be used to improve the readability of URIs,0,1
11,ICICI Lombard GIC Ltd.,/cripc/certificate,Hyphens (-) should be used to improve the readability of URIs,1,0
12,ICICI Lombard GIC Ltd.,/cvipc/certificate,Hyphens (-) should be used to improve the readability of URIs,1,0
13,ICICI Lombard GIC Ltd.,/hlipc/certificate,Hyphens (-) should be used to improve the readability of URIs,1,0
14,ICICI Lombard GIC Ltd.,/hmipc/certificate,Hyphens (-) should be used to improve the readability of URIs,1,0
15,ICICI Lombard GIC Ltd.,/miipc/certificate,Hyphens (-) should be used to improve the readability of URIs,1,0
16,ICICI Lombard GIC Ltd.,/tripc/certificate,Hyphens (-) should be used to improve the readability of URIs,1,0
17,ICICI Lombard GIC Ltd.,/twipc/certificate,Hyphens (-) should be used to improve the readability of URIs,1,0
18,DataBoxEdgeManagementClient,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.DataBoxEdge/dataBoxEdgeDevices/{deviceName}/installUpdates,Hyphens (-) should be used to improve the readability of URIs,0,1
19,Amazon Textract ,/#X-Amz-Target=Textract.AnalyzeDocument,Hyphens (-) should be used to improve the readability of URIs,0,1
20,Amazon Textract ,/#X-Amz-Target=Textract.AnalyzeExpense,Hyphens (-) should be used to improve the readability of URIs,0,1
21,Amazon Textract ,/#X-Amz-Target=Textract.DetectDocumentText,Hyphens (-) should be used to improve the readability of URIs,0,1
22,Amazon Textract ,/#X-Amz-Target=Textract.GetDocumentAnalysis,Hyphens (-) should be used to improve the readability of URIs,0,1
23,Amazon Textract ,/#X-Amz-Target=Textract.GetDocumentTextDetection,Hyphens (-) should be used to improve the readability of URIs,0,1
24,Amazon Textract ,/#X-Amz-Target=Textract.StartDocumentAnalysis,Hyphens (-) should be used to improve the readability of URIs,0,1
25,Amazon Textract ,/#X-Amz-Target=Textract.StartDocumentTextDetection,Hyphens (-) should be used to improve the readability of URIs,0,1
26,IntuneResourceManagementClient,/providers/Microsoft.Intune/locations/{hostName}/flaggedUsers,Hyphens (-) should be used to improve the readability of URIs,0,1
27,IntuneResourceManagementClient,/providers/Microsoft.Intune/locations/{hostName}/flaggedUsers/{userName}/flaggedEnrolledApps,Hyphens (-) should be used to improve the readability of URIs,0,1
28,IntuneResourceManagementClient,/providers/Microsoft.Intune/locations/{hostName}/iosPolicies/{policyName},Hyphens (-) should be used to improve the readability of URIs,0,1
29,IntuneResourceManagementClient,/providers/Microsoft.Intune/locations/{hostName}/iosPolicies/{policyName}/apps,Hyphens (-) should be used to improve the readability of URIs,0,1
30,IntuneResourceManagementClient,/providers/Microsoft.Intune/locations/{hostName}/operationResults,Hyphens (-) should be used to improve the readability of URIs,0,1
31,IntuneResourceManagementClient,/providers/Microsoft.Intune/locations/{hostName}/users/{userName}/devices/{deviceName},Hyphens (-) should be used to improve the readability of URIs,0,1
32,IntuneResourceManagementClient,/providers/Microsoft.Intune/locations/{hostName}/users/{userName}/devices/{deviceName}/wipe,Hyphens (-) should be used to improve the readability of URIs,0,1
33,NetworkManagementClient251,/subscriptions/{subscriptionId}/providers/Microsoft.Network/routeFilters,Hyphens (-) should be used to improve the readability of URIs,0,1
34,NetworkManagementClient251,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Network/routeFilters,Hyphens (-) should be used to improve the readability of URIs,0,1
35,NetworkManagementClient251,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Network/routeFilters/{routeFilterName}/routeFilterRules,Hyphens (-) should be used to improve the readability of URIs,0,1
36,Azure Media Services193,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Media/mediaServices/{accountName}/mediaGraphs,Hyphens (-) should be used to improve the readability of URIs,0,1
37,Idea Hub API,/v1alpha/ideas,Hyphens (-) should be used to improve the readability of URIs,0,1
38,Idea Hub API,/v1alpha/{name},Hyphens (-) should be used to improve the readability of URIs,0,1
39,Idea Hub API,/v1alpha/{parent}/ideaActivities,Hyphens (-) should be used to improve the readability of URIs,0,1
40,Idea Hub API,/v1alpha/{parent}/ideas,Hyphens (-) should be used to improve the readability of URIs,0,1
41,Idea Hub API,/v1alpha/{parent}/locales,Hyphens (-) should be used to improve the readability of URIs,0,1
42,api.datumbox.com,/1.0/CommercialDetection.json,Hyphens (-) should be used to improve the readability of URIs,0,1
43,api.datumbox.com,/1.0/LanguageDetection.json,Hyphens (-) should be used to improve the readability of URIs,0,1
44,api.datumbox.com,/1.0/ReadabilityAssessment.json,Hyphens (-) should be used to improve the readability of URIs,0,1
45,api.datumbox.com,/1.0/SpamDetection.json,Hyphens (-) should be used to improve the readability of URIs,0,1
46,api.datumbox.com,/1.0/SubjectivityAnalysis.json,Hyphens (-) should be used to improve the readability of URIs,0,1
47,api.datumbox.com,/1.0/TopicClassification.json,Hyphens (-) should be used to improve the readability of URIs,0,1
48,SqlManagementClient382,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Sql/servers/{serverName}/databases/{databaseName}/backupShortTermRetentionPolicies,Hyphens (-) should be used to improve the readability of URIs,0,1
49,NetworkManagementClient237,/subscriptions/{subscriptionId}/providers/Microsoft.Network/interfaceEndpoints,Hyphens (-) should be used to improve the readability of URIs,0,1
50,NetworkManagementClient237,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Network/interfaceEndpoints,Hyphens (-) should be used to improve the readability of URIs,0,1
51,Stationsdatenbereitstellung,/szentralen,Hyphens (-) should be used to improve the readability of URIs,0,1
52,Stationsdatenbereitstellung,/szentralen/{id},Hyphens (-) should be used to improve the readability of URIs,0,1
53,Amazon Lookout for Equipment,/#X-Amz-Target=AWSLookoutEquipmentFrontendService.CreateModel,Hyphens (-) should be used to improve the readability of URIs,0,1
54,Amazon Lookout for Equipment,/#X-Amz-Target=AWSLookoutEquipmentFrontendService.DeleteDataset,Hyphens (-) should be used to improve the readability of URIs,0,1
55,Amazon Lookout for Equipment,/#X-Amz-Target=AWSLookoutEquipmentFrontendService.DescribeModel,Hyphens (-) should be used to improve the readability of URIs,0,1
56,Amazon Lookout for Equipment,/#X-Amz-Target=AWSLookoutEquipmentFrontendService.ListDataIngestionJobs,Hyphens (-) should be used to improve the readability of URIs,0,1
57,Amazon Lookout for Equipment,/#X-Amz-Target=AWSLookoutEquipmentFrontendService.ListInferenceExecutions,Hyphens (-) should be used to improve the readability of URIs,0,1
58,Amazon Lookout for Equipment,/#X-Amz-Target=AWSLookoutEquipmentFrontendService.ListInferenceSchedulers,Hyphens (-) should be used to improve the readability of URIs,0,1
59,Amazon Lookout for Equipment,/#X-Amz-Target=AWSLookoutEquipmentFrontendService.StopInferenceScheduler,Hyphens (-) should be used to improve the readability of URIs,0,1
60,Amazon Lookout for Equipment,/#X-Amz-Target=AWSLookoutEquipmentFrontendService.TagResource,Hyphens (-) should be used to improve the readability of URIs,0,1
61,TAGGUN Receipt OCR Scanning API,/api/account/v1/feedback,Hyphens (-) should be used to improve the readability of URIs,0,1
62,TAGGUN Receipt OCR Scanning API,/api/account/v1/merchantname/add,Hyphens (-) should be used to improve the readability of URIs,0,1
63,TAGGUN Receipt OCR Scanning API,/api/receipt/v1/match/file,Hyphens (-) should be used to improve the readability of URIs,0,1
64,TAGGUN Receipt OCR Scanning API,/api/receipt/v1/simple/encoded,Hyphens (-) should be used to improve the readability of URIs,0,1
65,TAGGUN Receipt OCR Scanning API,/api/receipt/v1/simple/file,Hyphens (-) should be used to improve the readability of URIs,0,1
66,TAGGUN Receipt OCR Scanning API,/api/receipt/v1/simple/storage,Hyphens (-) should be used to improve the readability of URIs,0,1
67,TAGGUN Receipt OCR Scanning API,/api/receipt/v1/simple/url,Hyphens (-) should be used to improve the readability of URIs,0,1
68,TAGGUN Receipt OCR Scanning API,/api/receipt/v1/verbose/encoded,Hyphens (-) should be used to improve the readability of URIs,0,1
69,TAGGUN Receipt OCR Scanning API,/api/receipt/v1/verbose/file,Hyphens (-) should be used to improve the readability of URIs,0,1
70,TAGGUN Receipt OCR Scanning API,/api/receipt/v1/verbose/storage,Hyphens (-) should be used to improve the readability of URIs,0,1
71,TAGGUN Receipt OCR Scanning API,/api/receipt/v1/verbose/url,Hyphens (-) should be used to improve the readability of URIs,0,1
72,NetworkManagementClient,/subscriptions/{subscriptionId}/providers/Microsoft.Network/expressRouteCircuits,Hyphens (-) should be used to improve the readability of URIs,0,1
