,File name,Path,Rule,false-positive,true-positive
0,DataBoxEdgeManagementClient,/subscriptions/{subscriptionId}/providers/Microsoft.DataBoxEdge/dataBoxEdgeDevices,Lowercase letters should be preferred in URI paths,0,1
1,DataBoxEdgeManagementClient,/subscriptions/{subscriptionId}/providers/Microsoft.DataBoxEdge/skus,Lowercase letters should be preferred in URI paths,0,1
2,Amazon Textract ,/#X-Amz-Target=Textract.AnalyzeDocument,Lowercase letters should be preferred in URI paths,0,1
3,Amazon Textract ,/#X-Amz-Target=Textract.AnalyzeExpense,Lowercase letters should be preferred in URI paths,0,1
4,Amazon Textract ,/#X-Amz-Target=Textract.DetectDocumentText,Lowercase letters should be preferred in URI paths,0,1
5,Amazon Textract ,/#X-Amz-Target=Textract.GetDocumentAnalysis,Lowercase letters should be preferred in URI paths,0,1
6,Amazon Textract ,/#X-Amz-Target=Textract.GetDocumentTextDetection,Lowercase letters should be preferred in URI paths,0,1
7,Amazon Textract ,/#X-Amz-Target=Textract.StartDocumentAnalysis,Lowercase letters should be preferred in URI paths,0,1
8,Amazon Textract ,/#X-Amz-Target=Textract.StartDocumentTextDetection,Lowercase letters should be preferred in URI paths,0,1
9,IntuneResourceManagementClient,/providers/Microsoft.Intune/locations/{hostName}/androidPolicies,Lowercase letters should be preferred in URI paths,0,1
10,IntuneResourceManagementClient,/providers/Microsoft.Intune/locations/{hostName}/androidPolicies/{policyName}/apps/{appName},Lowercase letters should be preferred in URI paths,0,1
11,IntuneResourceManagementClient,/providers/Microsoft.Intune/locations/{hostName}/androidPolicies/{policyName}/groups,Lowercase letters should be preferred in URI paths,0,1
12,IntuneResourceManagementClient,/providers/Microsoft.Intune/locations/{hostName}/flaggedUsers,Lowercase letters should be preferred in URI paths,0,1
13,IntuneResourceManagementClient,/providers/Microsoft.Intune/locations/{hostName}/flaggedUsers/{userName}/flaggedEnrolledApps,Lowercase letters should be preferred in URI paths,0,1
14,IntuneResourceManagementClient,/providers/Microsoft.Intune/locations/{hostName}/iosPolicies/{policyName}/apps,Lowercase letters should be preferred in URI paths,0,1
15,IntuneResourceManagementClient,/providers/Microsoft.Intune/locations/{hostName}/iosPolicies/{policyName}/groups,Lowercase letters should be preferred in URI paths,0,1
16,IntuneResourceManagementClient,/providers/Microsoft.Intune/locations/{hostName}/users/{userName}/devices,Lowercase letters should be preferred in URI paths,0,1
17,IntuneResourceManagementClient,/providers/Microsoft.Intune/locations/{hostName}/users/{userName}/devices/{deviceName}/wipe,Lowercase letters should be preferred in URI paths,0,1
18,NetworkManagementClient251,/subscriptions/{subscriptionId}/providers/Microsoft.Network/routeFilters,Lowercase letters should be preferred in URI paths,0,1
19,NetworkManagementClient251,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Network/routeFilters,Lowercase letters should be preferred in URI paths,0,1
20,NetworkManagementClient251,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Network/routeFilters/{routeFilterName}/routeFilterRules,Lowercase letters should be preferred in URI paths,0,1
21,Azure Media Services193,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Media/mediaServices/{accountName}/mediaGraphs,Lowercase letters should be preferred in URI paths,0,1
22,Idea Hub API,/v1alpha/{parent}/ideaActivities,Lowercase letters should be preferred in URI paths,0,1
23,Xero Files API,/Files,Lowercase letters should be preferred in URI paths,0,1
24,Xero Files API,/Files/{FileId},Lowercase letters should be preferred in URI paths,0,1
25,Xero Files API,/Files/{FileId}/Associations,Lowercase letters should be preferred in URI paths,0,1
26,Xero Files API,/Associations/{ObjectId},Lowercase letters should be preferred in URI paths,0,1
27,Xero Files API,/Files/{FileId}/Associations/{ObjectId},Lowercase letters should be preferred in URI paths,0,1
28,Xero Files API,/Files/{FileId}/Content,Lowercase letters should be preferred in URI paths,0,1
29,Xero Files API,/Folders,Lowercase letters should be preferred in URI paths,0,1
30,Xero Files API,/Folders/{FolderId},Lowercase letters should be preferred in URI paths,0,1
31,Xero Files API,/Inbox,Lowercase letters should be preferred in URI paths,0,1
32,api.datumbox.com,/1.0/SpamDetection.json,Lowercase letters should be preferred in URI paths,0,1
33,api.datumbox.com,/1.0/TopicClassification.json,Lowercase letters should be preferred in URI paths,0,1
34,api.datumbox.com,/1.0/TwitterSentimentAnalysis.json,Lowercase letters should be preferred in URI paths,0,1
35,SqlManagementClient382,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Sql/servers/{serverName}/databases/{databaseName}/backupShortTermRetentionPolicies,Lowercase letters should be preferred in URI paths,0,1
36,NetworkManagementClient237,/subscriptions/{subscriptionId}/providers/Microsoft.Network/interfaceEndpoints,Lowercase letters should be preferred in URI paths,0,1
37,NetworkManagementClient237,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Network/interfaceEndpoints,Lowercase letters should be preferred in URI paths,0,1
38,Amazon Lookout for Equipment,/#X-Amz-Target=AWSLookoutEquipmentFrontendService.CreateModel,Lowercase letters should be preferred in URI paths,0,1
39,Amazon Lookout for Equipment,/#X-Amz-Target=AWSLookoutEquipmentFrontendService.DescribeDataset,Lowercase letters should be preferred in URI paths,0,1
40,Amazon Lookout for Equipment,/#X-Amz-Target=AWSLookoutEquipmentFrontendService.ListDataIngestionJobs,Lowercase letters should be preferred in URI paths,0,1
41,Amazon Lookout for Equipment,/#X-Amz-Target=AWSLookoutEquipmentFrontendService.StopInferenceScheduler,Lowercase letters should be preferred in URI paths,0,1
42,NetworkManagementClient,/subscriptions/{subscriptionId}/providers/Microsoft.Network/routeTables,Lowercase letters should be preferred in URI paths,0,1
43,NetworkManagementClient,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Network/applicationGateways,Lowercase letters should be preferred in URI paths,0,1
44,NetworkManagementClient,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Network/networkInterfaces,Lowercase letters should be preferred in URI paths,0,1
45,ApiManagementClient47,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.ApiManagement/service/{serviceName}/tenant/{accessName}/git/regeneratePrimaryKey,Lowercase letters should be preferred in URI paths,0,1
46,ApiManagementClient51,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.ApiManagement/service/{serviceName}/tenant/{accessName}/listSecrets,Lowercase letters should be preferred in URI paths,0,1
47,ApiManagementClient55,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.ApiManagement/service/{serviceName}/tenant/{accessName}/regeneratePrimaryKey,Lowercase letters should be preferred in URI paths,0,1
48,ApiManagementClient58,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.ApiManagement/service/{serviceName}/tenant/{accessName}/regenerateSecondaryKey,Lowercase letters should be preferred in URI paths,0,1
49,ApiManagementClient66,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.ApiManagement/service/{serviceName}/tenant/{configurationName}/syncState,Lowercase letters should be preferred in URI paths,0,1
50,Postman API,/apis/{apiId}/versions/{apiVersionId}/{entityType}/{entityId}/syncWithSchema,Lowercase letters should be preferred in URI paths,0,1
51,Azure Migrate Hub,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Migrate/migrateProjects/{migrateProjectName}/migrateEvents,Lowercase letters should be preferred in URI paths,0,1
52,Azure Migrate Hub,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Migrate/migrateProjects/{migrateProjectName}/registerTool,Lowercase letters should be preferred in URI paths,0,1
53,AWS IoT Things Graph,/#X-Amz-Target=IotThingsGraphFrontEndService.AssociateEntityToThing,Lowercase letters should be preferred in URI paths,0,1
54,AWS IoT Things Graph,/#X-Amz-Target=IotThingsGraphFrontEndService.CreateSystemTemplate,Lowercase letters should be preferred in URI paths,0,1
55,AWS IoT Things Graph,/#X-Amz-Target=IotThingsGraphFrontEndService.DeprecateFlowTemplate,Lowercase letters should be preferred in URI paths,0,1
56,AWS IoT Things Graph,/#X-Amz-Target=IotThingsGraphFrontEndService.DeprecateSystemTemplate,Lowercase letters should be preferred in URI paths,0,1
57,AWS IoT Things Graph,/#X-Amz-Target=IotThingsGraphFrontEndService.GetFlowTemplate,Lowercase letters should be preferred in URI paths,0,1
58,AWS IoT Things Graph,/#X-Amz-Target=IotThingsGraphFrontEndService.SearchEntities,Lowercase letters should be preferred in URI paths,0,1
59,AWS IoT Things Graph,/#X-Amz-Target=IotThingsGraphFrontEndService.SearchFlowExecutions,Lowercase letters should be preferred in URI paths,0,1
60,AutomationManagement84,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Automation/automationAccounts/{automationAccountName}/sourceControls/{sourceControlName}/sourceControlSyncJobs,Lowercase letters should be preferred in URI paths,0,1
61,AWS Performance Insights,/#X-Amz-Target=PerformanceInsightsv20180227.DescribeDimensionKeys,Lowercase letters should be preferred in URI paths,0,1
62,AWS Performance Insights,/#X-Amz-Target=PerformanceInsightsv20180227.GetDimensionKeyDetails,Lowercase letters should be preferred in URI paths,0,1
63,AWS Performance Insights,/#X-Amz-Target=PerformanceInsightsv20180227.GetResourceMetrics,Lowercase letters should be preferred in URI paths,0,1
64,NetworkAdminManagementClient127,/subscriptions/{subscriptionId}/providers/Microsoft.Network.Admin/adminPublicIpAddresses,Lowercase letters should be preferred in URI paths,0,1
65,Handwrytten API,/orders/singleStepOrder,Lowercase letters should be preferred in URI paths,0,1
66,Handwrytten API,/templateCategories/list,Lowercase letters should be preferred in URI paths,0,1
