title;x-apisguru-categories;openapiVer;swaggerUrl;
1Forge Finance APIs;['financial'];2.0;https://api.apis.guru/v2/specs/1forge.com/0.0.1/swagger.json;
Events API;['security'];3.0.0;https://api.apis.guru/v2/specs/1password.com/events/1.0.0/openapi.json;
1Password Connect;['security'];3.0.2;https://api.apis.guru/v2/specs/1password.local/connect/1.3.0/openapi.json;
Authentiq API;['security'];3.0.0;https://api.apis.guru/v2/specs/6-dot-authentiqio.appspot.com/6/openapi.json;
Platform API;['cloud'];3.0.1;https://api.apis.guru/v2/specs/ably.io/platform/1.1.0/openapi.json;
Control API v1;['cloud'];3.0.1;https://api.apis.guru/v2/specs/ably.net/control/1.0.14/openapi.json;
IP geolocation API;['location'];3.0.1;https://api.apis.guru/v2/specs/abstractapi.com/geolocation/1.0.0/openapi.json;
Adafruit IO REST API;['iot'];2.0;https://api.apis.guru/v2/specs/adafruit.com/2.0.0/swagger.json;
Adobe Experience Manager (AEM) API;['marketing'];3.0.0;https://api.apis.guru/v2/specs/adobe.com/aem/3.5.0-pre.0/openapi.json;
Adyen for Platforms: Account API;['payment'];3.1.0;https://api.apis.guru/v2/specs/adyen.com/AccountService/6/openapi.json;
Issuing: Balance Platform API;['payment'];3.1.0;https://api.apis.guru/v2/specs/adyen.com/BalancePlatformService/1/openapi.json;
Adyen BinLookup API;['payment'];3.1.0;https://api.apis.guru/v2/specs/adyen.com/BinLookupService/50/openapi.json;
Adyen Checkout API;['payment'];3.1.0;https://api.apis.guru/v2/specs/adyen.com/CheckoutService/68/openapi.json;
Adyen Checkout Utility Service;['payment'];3.0.0;https://api.apis.guru/v2/specs/adyen.com/CheckoutUtilityService/1/openapi.json;
Adyen for Platforms: Fund API;['payment'];3.1.0;https://api.apis.guru/v2/specs/adyen.com/FundService/6/openapi.json;
Adyen for Platforms: Hosted Onboarding;['payment'];3.1.0;https://api.apis.guru/v2/specs/adyen.com/HopService/6/openapi.json;
Adyen for Platforms: Notifications;['payment'];3.1.0;https://api.apis.guru/v2/specs/adyen.com/MarketPayNotificationService/6/openapi.json;
Adyen for Platforms: Notification Configuration API;['payment'];3.1.0;https://api.apis.guru/v2/specs/adyen.com/NotificationConfigurationService/6/openapi.json;
Adyen Payment API;['payment'];3.1.0;https://api.apis.guru/v2/specs/adyen.com/PaymentService/68/openapi.json;
Adyen Payout API;['payment'];3.1.0;https://api.apis.guru/v2/specs/adyen.com/PayoutService/68/openapi.json;
Adyen Recurring API;['payment'];3.1.0;https://api.apis.guru/v2/specs/adyen.com/RecurringService/68/openapi.json;
Adyen Test Cards API;['payment'];3.1.0;https://api.apis.guru/v2/specs/adyen.com/TestCardService/1/openapi.json;
Balance Platform Transfers API;['payment'];3.1.0;https://api.apis.guru/v2/specs/adyen.com/TransferService/2/openapi.json;
Afterbanks API;['financial'];2.0;https://api.apis.guru/v2/specs/afterbanks.com/3.0.0/swagger.json;
AGCO API;['ecommerce'];3.0.0;https://api.apis.guru/v2/specs/agco-ats.com/v1/openapi.json;
AIception Interactive;['machine_learning'];2.0;https://api.apis.guru/v2/specs/aiception.com/1.0.0/swagger.json;
Airbyte Configuration API;['developer_tools'];3.0.0;https://api.apis.guru/v2/specs/airbyte.local/config/1.0.0/openapi.json;
airportsapi;['transport'];2.0;https://api.apis.guru/v2/specs/airport-web.appspot.com/v1/swagger.json;
Akeneo PIM REST API;['enterprise'];2.0;https://api.apis.guru/v2/specs/akeneo.com/1.0.0/swagger.json;
Flight Offers Search;['location'];3.0.0;https://api.apis.guru/v2/specs/amadeus.com/2.2.0/openapi.json;
AWS Migration Hub;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/AWSMigrationHub/2017-05-31/openapi.json;
Access Analyzer;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/accessanalyzer/2019-11-01/openapi.json;
AWS Certificate Manager;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/acm/2015-12-08/openapi.json;
AWS Certificate Manager Private Certificate Authority;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/acm-pca/2017-08-22/openapi.json;
Alexa For Business;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/alexaforbusiness/2017-11-09/openapi.json;
Amazon Prometheus Service;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/amp/2020-08-01/openapi.json;
AWS Amplify;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/amplify/2017-07-25/openapi.json;
AmplifyBackend;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/amplifybackend/2020-08-11/openapi.json;
Amazon API Gateway;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/apigateway/2015-07-09/openapi.json;
AmazonApiGatewayManagementApi;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/apigatewaymanagementapi/2018-11-29/openapi.json;
AmazonApiGatewayV2;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/apigatewayv2/2018-11-29/openapi.json;
Amazon AppConfig;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/appconfig/2019-10-09/openapi.json;
Amazon Appflow;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/appflow/2020-08-23/openapi.json;
Amazon AppIntegrations Service;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/appintegrations/2020-07-29/openapi.json;
Application Auto Scaling;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/application-autoscaling/2016-02-06/openapi.json;
Amazon CloudWatch Application Insights;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/application-insights/2018-11-25/openapi.json;
AWS Application Cost Profiler;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/applicationcostprofiler/2020-09-10/openapi.json;
AWS App Mesh;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/appmesh/2019-01-25/openapi.json;
AWS App Runner;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/apprunner/2020-05-15/openapi.json;
Amazon AppStream;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/appstream/2016-12-01/openapi.json;
AWS AppSync;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/appsync/2017-07-25/openapi.json;
Amazon Athena;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/athena/2017-05-18/openapi.json;
AWS Audit Manager;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/auditmanager/2017-07-25/openapi.json;
Auto Scaling;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/autoscaling/2011-01-01/openapi.json;
AWS Auto Scaling Plans;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/autoscaling-plans/2018-01-06/openapi.json;
AWS Backup;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/backup/2018-11-15/openapi.json;
AWS Batch;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/batch/2016-08-10/openapi.json;
Braket;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/braket/2019-09-01/openapi.json;
AWS Budgets;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/budgets/2016-10-20/openapi.json;
AWS Cost Explorer Service;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/ce/2017-10-25/openapi.json;
Amazon Chime;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/chime/2018-05-01/openapi.json;
AWS Cloud9;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/cloud9/2017-09-23/openapi.json;
Amazon CloudDirectory;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/clouddirectory/2017-01-11/openapi.json;
AWS CloudFormation;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/cloudformation/2010-05-15/openapi.json;
Amazon CloudFront;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/cloudfront/2020-05-31/openapi.json;
Amazon CloudHSM;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/cloudhsm/2014-05-30/openapi.json;
AWS CloudHSM V2;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/cloudhsmv2/2017-04-28/openapi.json;
Amazon CloudSearch;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/cloudsearch/2013-01-01/openapi.json;
Amazon CloudSearch Domain;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/cloudsearchdomain/2013-01-01/openapi.json;
AWS CloudTrail;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/cloudtrail/2013-11-01/openapi.json;
CodeArtifact;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/codeartifact/2018-09-22/openapi.json;
AWS CodeBuild;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/codebuild/2016-10-06/openapi.json;
AWS CodeCommit;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/codecommit/2015-04-13/openapi.json;
AWS CodeDeploy;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/codedeploy/2014-10-06/openapi.json;
Amazon CodeGuru Reviewer;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/codeguru-reviewer/2019-09-19/openapi.json;
Amazon CodeGuru Profiler;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/codeguruprofiler/2019-07-18/openapi.json;
AWS CodePipeline;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/codepipeline/2015-07-09/openapi.json;
AWS CodeStar;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/codestar/2017-04-19/openapi.json;
AWS CodeStar connections;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/codestar-connections/2019-12-01/openapi.json;
AWS CodeStar Notifications;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/codestar-notifications/2019-10-15/openapi.json;
Amazon Cognito Identity;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/cognito-identity/2014-06-30/openapi.json;
Amazon Cognito Identity Provider;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/cognito-idp/2016-04-18/openapi.json;
Amazon Cognito Sync;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/cognito-sync/2014-06-30/openapi.json;
Amazon Comprehend;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/comprehend/2017-11-27/openapi.json;
