file_name,file_size
 API Client.json,158.5498046875
 Seller Service Metrics API .json,71.4306640625
1Forge Finance APIs.json,2.7197265625
1Password Connect.json,80.4296875
"500,000+ Recipe and Grocery List API (v2).json",282.79296875
Abusive Experience Report API.json,12.6943359375
Accelerated Mobile Pages (AMP) URL API.json,11.4482421875
Access Analyzer.json,321.8720703125
Access Approval API.json,46.0078125
Access Context Manager API.json,59.2666015625
Account and Transaction API Specification - UK.json,542.7568359375
Account and Transaction API Specification.json,906.92578125
Account API.json,268.6455078125
"Accountants General, Tripura.json",63.900390625
Accounting API.json,562.060546875
Accounting.json,379.9912109375
Accounts API.json,48.9912109375
ACE Provisioning ManagementPartner.json,24.63671875
Acko General Insurance Limited.json,68.623046875
Active Documentation for v1.json,32.14453125
Ad Exchange Buyer API II.json,347.6416015625
Ad Exchange Buyer API.json,227.31640625
Ad Experience Report API.json,14.1083984375
Adafruit IO REST API.json,151.86328125
ADHybridHealthService.json,437.3291015625
Admin SDK API.json,83.033203125
AdMob API.json,73.427734375
Adobe Experience Manager (AEM) API.json,137.3603515625
AdSense Host API.json,105.3544921875
AdSense Management API.json,158.3056640625
Advicent.FactFinderService.json,443.8984375
AdvisorManagementClient.json,77.109375
Adyen BinLookup API.json,40.861328125
Adyen Checkout API.json,921.0947265625
Adyen Checkout Utility Service.json,5.2763671875
Adyen for Platforms,0.0
Adyen Payment API.json,385.08203125
Adyen Payout API.json,268.3173828125
Adyen Recurring API.json,50.1904296875
Adyen Test Cards API.json,13.8330078125
Afterbanks API.json,17.2978515625
AGCO API.json,1044.447265625
"agentOS Api V2, Customer Login Call Group.json",88.189453125
"agentOS API V3, Diary Call Group.json",37.603515625
"agentOS API V3, Maintenance Call Group.json",7.955078125
Agricultural Scientists Recruitment Board.json,59.9638671875
AI Platform Training & Prediction API.json,258.2490234375
AIception Interactive.json,17.708984375
AIIMS Mangalagiri.json,60.33203125
AIIMS Rishikesh.json,59.4111328125
"AIIMS, Patna.json",60.3701171875
Airbyte Configuration API.json,162.25390625
Airports API v2.json,15.0078125
airportsapi.json,2.5
Akeneo PIM REST API.json,2231.869140625
Alexa For Business.json,655.2822265625
AltoroJ REST API.json,22.55859375
Amazon API Gateway.json,975.3759765625
Amazon AppConfig.json,233.9658203125
Amazon Appflow.json,382.5146484375
Amazon AppIntegrations Service.json,70.6796875
Amazon AppStream.json,434.6572265625
Amazon Athena.json,288.451171875
Amazon Augmented AI Runtime.json,52.0146484375
Amazon Chime SDK Identity.json,139.1123046875
Amazon Chime SDK Messaging.json,290.5908203125
Amazon Chime.json,1575.3193359375
Amazon CloudDirectory.json,874.0263671875
Amazon CloudFront.json,1025.8662109375
Amazon CloudHSM.json,155.849609375
Amazon CloudSearch Domain.json,75.4013671875
Amazon CloudSearch.json,386.1767578125
Amazon CloudWatch Application Insights.json,234.4599609375
Amazon CloudWatch Events.json,513.583984375
Amazon CloudWatch Logs.json,342.279296875
Amazon CloudWatch.json,631.6962890625
Amazon CodeGuru Profiler.json,231.302734375
Amazon CodeGuru Reviewer.json,203.2060546875
Amazon Cognito Identity Provider.json,1162.78515625
Amazon Cognito Identity.json,213.0009765625
Amazon Cognito Sync.json,155.4462890625
Amazon Comprehend.json,656.9658203125
Amazon Connect Contact Lens.json,32.4287109375
Amazon Connect Customer Profiles.json,440.5556640625
Amazon Connect Participant Service.json,93.9189453125
Amazon Connect Service.json,986.9501953125
Amazon Data Lifecycle Manager.json,122.4267578125
Amazon Detective.json,118.517578125
Amazon DevOps Guru.json,278.1943359375
Amazon DocumentDB with MongoDB compatibility.json,908.4287109375
Amazon DynamoDB Accelerator (DAX).json,208.2021484375
Amazon DynamoDB Streams.json,76.8935546875
Amazon DynamoDB.json,771.1708984375
Amazon EC2 Container Registry.json,326.654296875
Amazon EC2 Container Service.json,901.853515625
Amazon Elastic  Inference.json,55.5751953125
Amazon Elastic Block Store.json,85.1259765625
Amazon Elastic Compute Cloud.json,8098.3056640625
Amazon Elastic Container Registry Public.json,224.5498046875
Amazon Elastic File System.json,252.57421875
Amazon Elastic Kubernetes Service.json,441.7958984375
Amazon Elastic Transcoder.json,450.955078125
Amazon ElastiCache.json,1371.8193359375
Amazon Elasticsearch Service.json,531.134765625
Amazon EMR Containers.json,144.904296875
Amazon EMR.json,597.9970703125
Amazon EventBridge.json,513.583984375
Amazon Forecast Query Service.json,20.1748046875
Amazon Forecast Service.json,383.060546875
Amazon Fraud Detector.json,506.224609375
Amazon FSx.json,452.92578125
Amazon GameLift.json,1140.0146484375
Amazon Glacier.json,307.9052734375
Amazon GuardDuty.json,527.9677734375
Amazon HealthLake.json,128.21484375
Amazon Honeycode.json,199.119140625
Amazon ImportExport Snowball.json,252.125
Amazon Inspector.json,382.9775390625
Amazon Interactive Video Service.json,221.162109375
Amazon Kinesis Analytics.json,469.8427734375
Amazon Kinesis Firehose.json,315.4287109375
Amazon Kinesis Video Signaling Channels.json,30.123046875
Amazon Kinesis Video Streams Archived Media.json,149.2841796875
Amazon Kinesis Video Streams Media.json,30.5419921875
Amazon Kinesis Video Streams.json,197.0673828125
Amazon Kinesis.json,271.8828125
Amazon Lex Model Building Service.json,553.09375
Amazon Lex Model Building V2.json,812.2529296875
Amazon Lex Runtime Service.json,121.83984375
Amazon Lex Runtime V2.json,100.3291015625
Amazon Lightsail.json,1646.3251953125
Amazon Location Service.json,545.5380859375
Amazon Lookout for Equipment.json,241.1962890625
Amazon Lookout for Metrics.json,309.7978515625
Amazon Lookout for Vision.json,191.3349609375
Amazon Machine Learning.json,360.58984375
Amazon Macie 2.json,740.4970703125
Amazon Macie.json,60.27734375
Amazon Managed Blockchain.json,287.0234375
Amazon Mechanical Turk.json,330.228515625
Amazon MemoryDB.json,360.6767578125
Amazon Mobile Analytics.json,19.482421875
Amazon Neptune.json,1182.912109375
Amazon OpenSearch Service.json,527.775390625
Amazon Personalize Events.json,35.423828125
Amazon Personalize Runtime.json,36.375
Amazon Personalize.json,432.08203125
Amazon Pinpoint Email Service.json,398.56640625
Amazon Pinpoint SMS and Voice Service.json,66.236328125
Amazon Pinpoint.json,1558.083984375
Amazon Polly.json,123.455078125
Amazon Prometheus Service.json,62.9775390625
Amazon QLDB Session.json,41.9228515625
Amazon QLDB.json,185.8857421875
Amazon QuickSight.json,1435.6669921875
Amazon Redshift.json,1903.267578125
Amazon Rekognition.json,728.69921875
Amazon Relational Database Service.json,2929.197265625
Amazon Route 53 Domains.json,264.9892578125
Amazon Route 53 Resolver.json,590.7646484375
Amazon Route 53.json,735.380859375
Amazon S3 on Outposts.json,38.080078125
Amazon Sagemaker Edge Manager.json,26.6591796875
Amazon SageMaker Feature Store Runtime.json,42.865234375
Amazon SageMaker Runtime.json,32.7255859375
Amazon SageMaker Service.json,2699.4189453125
Amazon Simple Email Service.json,735.2177734375
Amazon Simple Notification Service.json,544.517578125
Amazon Simple Queue Service.json,390.837890625
Amazon Simple Storage Service.json,1139.5322265625
Amazon Simple Systems Manager (SSM).json,1773.3916015625
Amazon Simple Workflow Service.json,627.4541015625
Amazon SimpleDB.json,139.00390625
Amazon Textract.json,141.5810546875
Amazon Timestream Query.json,44.2138671875
Amazon Timestream Write.json,133.373046875
Amazon Transcribe Service.json,416.8564453125
Amazon Translate.json,155.533203125
Amazon WorkDocs.json,391.2060546875
Amazon WorkLink.json,258.6064453125
Amazon WorkMail Message Flow.json,23.126953125
Amazon WorkMail.json,458.564453125
Amazon WorkSpaces.json,427.5771484375
AmazonApiGatewayManagementApi.json,21.107421875
AmazonApiGatewayV2.json,886.734375
AmazonMQ.json,305.8818359375
AmazonMWAA.json,148.0107421875
AmazonNimbleStudio.json,461.05859375
AmplifyBackend.json,321.154296875
Analytics Hub API.json,82.0791015625
Analytics Reporting API.json,89.9677734375
Anchore Engine API Server.json,343.2177734375
"Andaman Law College, Andaman & Nicobar.json",59.416015625
Android Device Provisioning Partner API.json,119.2646484375
Android Management API.json,270.974609375
Annunciator content API.json,14.9814453125
Anomaly Detector Client.json,143.1015625
Anomaly Finder Client.json,53.681640625
"Antyodaya Saral Haryana, Haryana.json",59.4443359375
Apacta.json,344.3603515625
API Discovery Service.json,36.6279296875
API docs  logoraisr.com.json,48.0703125
Api Documentation.json,13.8046875
API Endpoints.json,48.8701171875
API for the COVID-19 Tracking QR Code Signin Server..json,32.4541015625
API for the Settlement Currency Rate converter.json,17.697265625
API Gateway API.json,57.3427734375
API iSendPro.json,93.259765625
API Keys API.json,46.7353515625
API Reference,0.0
API v1.0.0.json,408.0986328125
API V1.json,25.8759765625
api.clarify.io.json,101.5341796875
api.datumbox.com.json,18.423828125
api.ecota.co v2.json,135.25390625
API.json,119.50390625
api.video.json,334.6357421875
"Api2Pdf - PDF Generation, Powered by AWS Lambda.json",33.4765625
Apicurio Registry API [v2].json,157.0205078125
ApiDapp.json,65.279296875
Apigee API.json,707.83984375
Apigee Registry API.json,147.73046875
ApiManagementClient.json,179.4345703125
APIMATIC API Transformer.json,4.0595703125
APIs.guru.json,10.6484375
APOD.json,3.794921875
App Center Client.json,4148.5751953125
App Engine Admin API.json,287.3349609375
App Store Connect API.json,1704.482421875
AppConfigurationManagementClient.json,114.6416015625
Application API.json,80.37890625
Application Auto Scaling.json,253.6533203125
Application Insights Data Plane.json,357.4560546875
Application Integration API.json,495.97265625
Application Migration Service.json,265.26953125
ApplicationClient.json,119.4541015625
ApplicationInsightsManagementClient.json,41.0986328125
AppPlatformManagementClient.json,184.96875
Apps Script API.json,111.9970703125
AppServiceCertificateOrders API Client.json,150.96875
AppServiceEnvironments API Client.json,1169.0419921875
AppServicePlans API Client.json,516.4521484375
AppVeyor REST API.json,244.5009765625
Appwrite.json,339.64453125
Archive API.json,9.9130859375
Area120 Tables API.json,68.12890625
ART19 Content API Documentation.json,308.41015625
Article Rewriter and Article Extractor API.json,9.37109375
Article Search API.json,14.72265625
Artifact Registry API.json,117.5830078125
Artifact.json,62.8544921875
Asana.json,691.208984375
"Assam State Board of Secondary Education, Assam.json",60.5185546875
Assured Workloads API.json,81.921875
Asynchronous Speech-To-Text API Documentation.json,119.767578125
ATM Locator API.json,51.5400390625
Atmosphere API.json,27.3525390625
ATS API.json,174.0166015625
AttestationClient.json,27.828125
Auckland Museum API.json,13.2197265625
Audit API.json,31.1025390625
Authentication.json,4.50390625
Authentiq API.json,39.25390625
Authentiq Connect API.json,35.7626953125
AuthorizationManagementClient.json,78.1298828125
Authorized Buyers Marketplace API.json,181.3779296875
Authorized Partner API Specification.json,209.92578125
Auto Scaling.json,1007.2646484375
Automata Market Intelligence API.json,33.0234375
AutomationManagement.json,128.7919921875
AutomationManagementClient.json,43.5068359375
AutoSuggest Client.json,41.080078125
Available API endpoints.json,63.611328125
Avaza API Documentation.json,310.6865234375
Aviation Radiation API.json,77.3642578125
AviationData.Systems Airports API V1.json,19.2890625
AWS Amplify.json,369.7802734375
AWS App Mesh.json,585.177734375
AWS App Runner.json,225.9013671875
AWS Application Cost Profiler.json,61.291015625
AWS Application Discovery Service.json,258.470703125
AWS AppSync.json,410.091796875
AWS Audit Manager.json,460.6201171875
AWS Auto Scaling Plans.json,111.7119140625
AWS Backup.json,593.2705078125
AWS Batch.json,452.3564453125
AWS Budgets.json,223.623046875
AWS Certificate Manager Private Certificate Authority.json,271.203125
AWS Certificate Manager.json,155.1201171875
AWS Cloud Map.json,297.865234375
AWS Cloud9.json,130.8193359375
AWS CloudFormation.json,1331.353515625
AWS CloudHSM V2.json,146.548828125
AWS CloudTrail.json,257.2412109375
AWS CodeBuild.json,526.17578125
AWS CodeCommit.json,1093.3125
AWS CodeDeploy.json,559.0498046875
AWS CodePipeline.json,433.5302734375
AWS CodeStar connections.json,89.404296875
AWS CodeStar Notifications.json,122.3125
AWS CodeStar.json,162.7744140625
AWS Comprehend Medical.json,213.419921875
AWS Compute Optimizer.json,291.234375
AWS Config.json,858.705078125
AWS Cost and Usage Report Service.json,37.966796875
AWS Cost Explorer Service.json,479.6708984375
AWS Data Exchange.json,221.4140625
AWS Data Pipeline.json,169.005859375
AWS Database Migration Service.json,776.4560546875
AWS DataSync.json,316.259765625
AWS Device Farm.json,721.4267578125
AWS Direct Connect.json,475.2412109375
AWS Directory Service.json,568.203125
AWS EC2 Instance Connect.json,26.9755859375
AWS Elastic Beanstalk.json,723.0087890625
AWS Elemental MediaConvert.json,1425.798828125
AWS Elemental MediaLive.json,1347.302734375
AWS Elemental MediaPackage VOD.json,202.0859375
AWS Elemental MediaPackage.json,344.58203125
AWS Elemental MediaStore Data Plane.json,41.9345703125
AWS Elemental MediaStore.json,139.74609375
AWS Fault Injection Simulator.json,135.0078125
AWS Global Accelerator.json,408.7568359375
AWS Glue DataBrew.json,433.44921875
AWS Glue.json,1659.26953125
AWS Greengrass.json,520.529296875
AWS Ground Station.json,222.3505859375
AWS Health APIs and Notifications.json,162.51171875
AWS Identity and Access Management.json,2340.8837890625
AWS ImportExport.json,131.13671875
AWS IoT 1-Click Devices Service.json,85.0615234375
AWS IoT 1-Click Projects Service.json,108.1015625
AWS IoT Analytics.json,400.2314453125
AWS IoT Core Device Advisor.json,107.3671875
AWS IoT Data Plane.json,63.453125
AWS IoT Events Data.json,139.69140625
AWS IoT Events.json,335.251953125
AWS IoT Fleet Hub.json,61.9619140625
AWS IoT Greengrass V2.json,279.5849609375
AWS IoT Jobs Data Plane.json,56.0869140625
AWS IoT Secure Tunneling.json,55.69921875
AWS IoT SiteWise.json,657.3017578125
AWS IoT Things Graph.json,282.9775390625
AWS IoT Wireless.json,469.861328125
AWS IoT.json,2231.869140625
AWS Key Management Service.json,631.4580078125
AWS Lake Formation.json,213.4677734375
AWS Lambda.json,610.7529296875
AWS License Manager.json,471.173828125
AWS Marketplace Catalog Service.json,92.84765625
AWS Marketplace Commerce Analytics.json,33.5205078125
AWS Marketplace Entitlement Service.json,24.263671875
AWS MediaConnect.json,447.4990234375
AWS MediaTailor.json,278.6396484375
AWS Migration Hub Config.json,36.1376953125
AWS Migration Hub.json,179.490234375
AWS Mobile.json,78.458984375
AWS Network Firewall.json,363.5908203125
AWS Network Manager.json,308.1640625
AWS OpsWorks CM.json,191.5546875
AWS OpsWorks.json,662.2041015625
AWS Organizations.json,604.0810546875
AWS Outposts.json,86.4619140625
AWS Performance Insights.json,66.126953125
AWS Price List Service.json,43.5166015625
AWS Proton.json,501.35546875
AWS RDS DataService.json,103.294921875
AWS Resource Access Manager.json,285.3837890625
AWS Resource Groups Tagging API.json,95.9091796875
AWS Resource Groups.json,211.671875
AWS RoboMaker.json,717.162109375
AWS Route53 Recovery Control Config.json,169.43359375
AWS Route53 Recovery Readiness.json,245.0048828125
AWS S3 Control.json,513.9775390625
AWS Savings Plans.json,124.1083984375
AWS Secrets Manager.json,295.7919921875
AWS Security Token Service.json,277.3818359375
AWS SecurityHub.json,1590.8505859375
AWS Server Migration Service.json,315.583984375
AWS Service Catalog App Registry.json,147.9619140625
AWS Service Catalog.json,781.3798828125
AWS Shield.json,259.978515625
AWS Signer.json,184.443359375
AWS Single Sign-On Admin.json,283.076171875
AWS Single Sign-On.json,38.2822265625
AWS Snow Device Management.json,128.9228515625
AWS SSO Identity Store.json,48.4833984375
AWS SSO OIDC.json,47.6787109375
AWS Step Functions.json,258.3583984375
AWS Storage Gateway.json,783.6396484375
AWS Support.json,150.236328125
AWS Systems Manager Incident Manager Contacts.json,251.90234375
AWS Systems Manager Incident Manager.json,314.6455078125
AWS Transfer Family.json,387.6162109375
AWS WAF Regional.json,873.8916015625
AWS WAF.json,842.8271484375
AWS WAFV2.json,626.544921875
AWS Well-Architected Tool.json,276.259765625
AWS X-Ray.json,352.986328125
AWSKendraFrontendService.json,647.638671875
AWSMarketplace Metering.json,60.4384765625
AWSServerlessApplicationRepository.json,212.865234375
Axesso Api.json,14.7548828125
Azure Action Groups.json,86.3427734375
Azure Activity Log Alerts.json,46.521484375
Azure Addons Resource Provider.json,26.2373046875
Azure Alerts Management Service Resource Provider.json,168.7373046875
Azure Bot Service.json,175.6943359375
Azure CDN WebApplicationFirewallManagement.json,130.275390625
Azure Data Catalog Resource Provider.json,37.83203125
Azure Data Lake Storage.json,127.564453125
Azure Data Migration Service Resource Provider.json,323.080078125
Azure Dedicated HSM Resource Provider.json,48.099609375
Azure DevOps.json,64.1982421875
Azure Enterprise Knowledge Graph Service.json,35.29296875
Azure IoT Central.json,146.6064453125
Azure Location Based Services Resource Provider.json,51.1552734375
Azure Log Analytics - Operations Management.json,70.9365234375
Azure Log Analytics Query Packs.json,42.33984375
Azure Log Analytics.json,33.7958984375
Azure Machine Learning Datastore Management Client.json,36.7490234375
Azure Machine Learning Model Management Service.json,142.3916015625
Azure Machine Learning Workspaces.json,298.1845703125
Azure Maps Resource Provider.json,114.9169921875
Azure Media Services.json,48.6513671875
Azure Metrics.json,12.03125
Azure Migrate Hub.json,184.087890625
Azure Migrate V2.json,403.490234375
Azure ML Commitment Plans Management Client.json,41.78125
Azure ML Web Services Management Client.json,131.73046875
Azure Monitor Private Link Scopes.json,86.859375
Azure Reservation.json,160.7265625
Azure Resource Graph Query.json,26.8544921875
Azure Resource Graph.json,69.705078125
Azure SQL Database API spec.json,22.7392578125
Azure SQL Database Backup Long Term Retention Policy.json,21.8447265625
Azure SQL Database Backup.json,30.140625
Azure SQL Database Datamasking Policies and Rules.json,49.5546875
Azure SQL Database disaster recovery configurations.json,34.1044921875
Azure SQL Database ImportExport spec.json,49.7275390625
Azure SQL Database replication links.json,27.9111328125
Azure SQL Database.json,10.1708984375
Azure SQL Server API spec.json,13.8203125
Azure SQL Server Backup Long Term Retention Vault.json,19.4892578125
Azure Stack Azure Bridge Client.json,40.1494140625
azureactivedirectory.json,33.783203125
AzureAnalysisServices.json,79.25390625
AzureBridgeAdminClient.json,524.6826171875
AzureDataManagementClient.json,74.7138671875
AzureDeploymentManager.json,209.3427734375
AzureDigitalTwinsManagementClient.json,91.9111328125
AzureStack Azure Bridge Client.json,82.09765625
Background Removal API.json,57.279296875
Backup for GKE API.json,160.0107421875
BackupManagementClient.json,54.4375
Bajaj Allianz General Insurance Company Ltd. (BAGIC).json,86.84765625
Bajaj Allianz Life Insurance Company Ltd.json,59.8896484375
Balance Platform Transfers API.json,44.4912109375
Bandsintown API.json,11.6416015625
Barcode API.json,12.900390625
Bare Metal Solution API.json,176.0400390625
Batch API.json,128.26953125
BatchAI.json,274.43359375
BatchManagement.json,366.2666015625
BatchService.json,1078.6357421875
BBC iPlayer Business Layer.json,137.3701171875
BBC Nitro API.json,355.537109375
BC Data Catalogue API.json,33.6728515625
BC Geographical Names Web Service - REST API.json,73.8701171875
BC Gov News API Service 1.0.json,82.3486328125
BC Laws.json,20.783203125
BC Route Planner REST API.json,173.46875
Beanstream Payments.json,76.5322265625
BeezUP Merchant API .json,1198.34375
Benefits Intake.json,84.1552734375
Betfair,0.0
Betriebsstellen.json,7.0537109375
Bets API.json,66.9853515625
BeyondCorp API.json,192.89453125
Bhagavad Gita API.json,29.251953125
Bharti AXA General Insurance Company Ltd..json,77.5751953125
Big Red Cloud API.json,462.96875
BigQuery API.json,464.70703125
BigQuery Connection API.json,55.6259765625
BigQuery Data Transfer API.json,101.9736328125
BigQuery Reservation API.json,79.0068359375
"Bihar State Board of School Examination, Bihar.json",66.2607421875
"Biju Patnaik University Of Technology, Odisha.json",59.8759765625
BikeWise API v2.json,16.125
Bill Payment Validator.json,9.1591796875
Billbee API.json,266.5078125
BillingManagementClient.json,686.615234375
Billingo API v3.json,169.216796875
Bills API.json,101.65234375
BIN Lookup API.json,6.1884765625
Binary Authorization API.json,70.0029296875
BioLink API.json,783.765625
Bitbucket API.json,1640.1083984375
Blazemeter API Explorer.json,21.4599609375
BlockchainManagementClient.json,112.8056640625
Blogger API.json,154.8828125
BlueprintClient.json,206.5869140625
bng2latlong.json,5.140625
"Board of Ayurvedic and Unani Systems of Medicine, Himachal Pradesh, Himachal Pradesh.json",64.1875
"BOARD OF HIGHER SECONDARY EXAMINATION, KERALA, Kerala.json",60.6591796875
"Board of Vocational Higher Secondary Examinations, Kerala.json",60.6494140625
Books API.json,330.5810546875
Botify API.json,144.9814453125
Box Platform API.json,1626.529296875
Brain Web API.json,224.5361328125
brainbi.json,20.7412109375
Braket.json,88.4619140625
Branch Locator API.json,77.814453125
BrandLovers Marketplace API V1.json,145.8662109375
Braze Endpoints.json,123.1845703125
bridgedb webservices.json,68.2119140625
Browse API.json,282.54296875
Browshot API.json,75.86328125
Budgea API Documentation.json,603.76953125
Bufferapp.json,111.6083984375
Bulk Data Storage System Services.json,21.4013671875
Bulk WHOIS API.json,12.150390625
BulkSMS JSON REST API.json,93.7548828125
Bungie.Net API.json,2065.7412109375
bunq API.json,2672.8037109375
Bus Route and Stop Methods.json,763.173828125
Business Profile Performance API.json,25.5166015625
Business Registries.json,174.2294921875
Buy Marketing API.json,32.5703125
Calendar API.json,227.4736328125
Call Control API.json,19.0986328125
CallFire API Documentation.json,667.0693359375
CalorieNinjas.json,2.8466796875
Cambase.io.json,72.01171875
Campaign Manager 360 API.json,1214.23828125
Canada Holidays API.json,40.9052734375
Car Configurator.json,109.23828125
Car Registration API.json,2.5517578125
CarbonDoomsDay.json,8.125
Catalog API.json,46.4833984375
Catalog Inventory.json,107.8056640625
CBB v3 Scores.json,59.73046875
CBB v3 Stats.json,109.4560546875
CdnManagementClient.json,363.03125
Cenit IO - REST API Specification.json,46.1865234375
Central Board of Secondary Education.json,133.853515625
Certificate Authority API.json,178.9462890625
Certificate Manager API.json,99.673828125
CertificateRegistrationProvider API Client.json,33.5029296875
Certificates API Client.json,64.447265625
CFB v3 Scores.json,70.0087890625
Chaingateway.io.json,103.1767578125
Channel 4 API.json,171.0791015625
ChannelShipper & Royal Mail Public API.json,42.8583984375
Charity API.json,25.6357421875
Checks API.json,1845.3896484375
"Chhattisgarh State Board of Secondary Education, Chhattisgarh.json",65.6533203125
Chitkara University.json,59.890625
Cholamandalam MS General Insurance Company Ltd..json,63.9755859375
Chomp Food Database API Documentation.json,59.61328125
Chrome Management API.json,143.072265625
Chrome Policy API.json,109.84765625
Chrome UX Report API.json,20.490234375
Chrome Verified Access API.json,15.8701171875
CircleCI REST API.json,53.2685546875
CIS Automotive API.json,140.19921875
CISCE.json,85.1162109375
Cisco PSIRT openVuln API.json,25.81640625
City Context.json,14.0498046875
City of Surrey Open511 API.json,8.859375
City of Surrey Traffic Loop Count API..json,4.8447265625
CitySDK Linked Data.json,34.6650390625
"Civil Supplies Department, Kerala.json",59.5400390625
ClearBlade API.json,506.5126953125
Clever-Cloud API.json,364.24609375
ClickMeter API.json,441.21484375
ClickSend REST API v3.json,1182.4912109375
Climate FieldView Platform APIs.json,141.5595703125
climateKuul live.json,84.92578125
Cloud Asset API.json,103.8515625
Cloud AutoML API.json,293.2275390625
Cloud Bigtable Admin API.json,207.53125
Cloud Billing API.json,49.9873046875
Cloud Billing Budget API.json,41.4111328125
Cloud Build API.json,128.4150390625
Cloud Channel API.json,285.505859375
Cloud Composer API.json,105.033203125
Cloud Data Fusion API.json,113.9814453125
Cloud Data Loss Prevention (DLP) API.json,372.6884765625
Cloud Dataplex API.json,267.62890625
Cloud Dataproc API.json,331.435546875
Cloud Datastore API.json,45.27734375
Cloud Debugger API.json,76.7802734375
Cloud Deployment Manager V2 API.json,245.703125
Cloud DNS API.json,272.9794921875
Cloud Document AI API.json,374.3076171875
Cloud Domains API.json,154.46875
Cloud Filestore API.json,127.8212890625
Cloud Firestore API.json,62.94140625
Cloud Functions API.json,127.19921875
Cloud Healthcare API.json,511.876953125
Cloud Identity API.json,256.1455078125
Cloud Identity-Aware Proxy API.json,30.962890625
