,File name,Path,Rule,false-positive,true-positive
0,DataBoxEdgeManagementClient,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.DataBoxEdge/dataBoxEdgeDevices/{deviceName}/securitySettings/default/update,CRUD function names should not be used in URIs,0,1
1,Buy Marketing API,/merchandised_product/get_also_bought_products,CRUD function names should not be used in URIs,0,1
2,Buy Marketing API,/merchandised_product/get_also_viewed_products,CRUD function names should not be used in URIs,0,1
3,Azure Migrate Hub,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Migrate/migrateProjects/{migrateProjectName}/solutions/{solutionName}/getConfig,CRUD function names should not be used in URIs,0,1
4,Handwrytten API,/cards/createCustomCard,CRUD function names should not be used in URIs,0,1
5,Handwrytten API,/profile/deleteRecipient,CRUD function names should not be used in URIs,0,1
6,Handwrytten API,/profile/updateAddress,CRUD function names should not be used in URIs,0,1
7,Handwrytten API,/profile/updateRecipient,CRUD function names should not be used in URIs,0,1
8,Handwrytten API,/templates/delete,CRUD function names should not be used in URIs,0,1
9,Amazon Neptune,/#Action=CreateEventSubscription,CRUD function names should not be used in URIs,0,1
10,Adyen Recurring API,/scheduleAccountUpdater,CRUD function names should not be used in URIs,1,0
11,Amazon Lookout for Metrics,/GetAnomalyGroup,CRUD function names should not be used in URIs,0,1
12,Amazon Lookout for Metrics,/GetSampleData,CRUD function names should not be used in URIs,0,1
13,Amazon Honeycode,/workbooks/{workbookId}/tables/{tableId}/rows/batchcreate,CRUD function names should not be used in URIs,0,1
14,Amazon Honeycode,/workbooks/{workbookId}/tables/{tableId}/rows/batchdelete,CRUD function names should not be used in URIs,0,1
15,Amazon Honeycode,/workbooks/{workbookId}/tables/{tableId}/rows/batchupdate,CRUD function names should not be used in URIs,0,1
16,Customer Lockbox,/subscriptions/{subscriptionId}/providers/Microsoft.CustomerLockbox/requests/{requestId}/UpdateApproval,CRUD function names should not be used in URIs,0,1
17,Google Workspace Alert Center API,/v1beta1/alerts:batchDelete,CRUD function names should not be used in URIs,0,1
18,Pricing API,/get-full-pricing/outbound/{type},CRUD function names should not be used in URIs,0,1
19,Pricing API,/get-prefix-pricing/outbound/{type},CRUD function names should not be used in URIs,0,1
20,Pricing API,/get-pricing/outbound/{type},CRUD function names should not be used in URIs,0,1
21,,,,,
22,,,Total violations,Total false positives,Total true positives
23,,,21,1,20
