,File name,Path,Rule,false-positive,true-positive
0,DataBoxEdgeManagementClient,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.DataBoxEdge/dataBoxEdgeDevices/{deviceName}/bandwidthSchedules/{name},Content-Type must be used,0,1
1,DataBoxEdgeManagementClient,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.DataBoxEdge/dataBoxEdgeDevices/{deviceName}/bandwidthSchedules/{name},Content-Type must be used,0,1
2,DataBoxEdgeManagementClient,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.DataBoxEdge/dataBoxEdgeDevices/{deviceName}/bandwidthSchedules/{name},Content-Type must be used,0,1
3,DataBoxEdgeManagementClient,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.DataBoxEdge/dataBoxEdgeDevices/{deviceName}/installUpdates,Content-Type must be used,0,1
4,DataBoxEdgeManagementClient,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.DataBoxEdge/dataBoxEdgeDevices/{deviceName}/orders/default,Content-Type must be used,0,1
5,DataBoxEdgeManagementClient,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.DataBoxEdge/dataBoxEdgeDevices/{deviceName}/securitySettings/default/update,Content-Type must be used,0,1
6,DataBoxEdgeManagementClient,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.DataBoxEdge/dataBoxEdgeDevices/{deviceName}/shares/{name},Content-Type must be used,0,1
7,DataBoxEdgeManagementClient,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.DataBoxEdge/dataBoxEdgeDevices/{deviceName}/shares/{name},Content-Type must be used,0,1
8,DataBoxEdgeManagementClient,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.DataBoxEdge/dataBoxEdgeDevices/{deviceName}/storageAccounts/{storageAccountName}/containers/{containerName},Content-Type must be used,0,1
9,DataBoxEdgeManagementClient,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.DataBoxEdge/dataBoxEdgeDevices/{deviceName}/triggers/{name},Content-Type must be used,0,1
10,DataBoxEdgeManagementClient,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.DataBoxEdge/dataBoxEdgeDevices/{deviceName}/users/{name},Content-Type must be used,0,1
11,IntuneResourceManagementClient,/providers/Microsoft.Intune/locations/{hostName}/androidPolicies/{policyName},Content-Type must be used,0,1
12,IntuneResourceManagementClient,/providers/Microsoft.Intune/locations/{hostName}/androidPolicies/{policyName}/apps/{appName},Content-Type must be used,0,1
13,IntuneResourceManagementClient,/providers/Microsoft.Intune/locations/{hostName}/androidPolicies/{policyName}/groups/{groupId},Content-Type must be used,0,1
14,IntuneResourceManagementClient,/providers/Microsoft.Intune/locations/{hostName}/iosPolicies/{policyName},Content-Type must be used,0,1
15,IntuneResourceManagementClient,/providers/Microsoft.Intune/locations/{hostName}/iosPolicies/{policyName}/apps/{appName},Content-Type must be used,0,1
16,IntuneResourceManagementClient,/providers/Microsoft.Intune/locations/{hostName}/iosPolicies/{policyName}/groups/{groupId},Content-Type must be used,0,1
17,IntuneResourceManagementClient,/providers/Microsoft.Intune/locations/{hostName}/iosPolicies/{policyName}/groups/{groupId},Content-Type must be used,0,1
18,NetworkManagementClient251,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Network/routeFilters/{routeFilterName},Content-Type must be used,0,1
19,NetworkManagementClient251,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Network/routeFilters/{routeFilterName},Content-Type must be used,0,1
20,NetworkManagementClient251,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Network/routeFilters/{routeFilterName},Content-Type must be used,0,1
21,NetworkManagementClient251,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Network/routeFilters/{routeFilterName}/routeFilterRules/{ruleName},Content-Type must be used,0,1
22,NetworkManagementClient251,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Network/routeFilters/{routeFilterName}/routeFilterRules/{ruleName},Content-Type must be used,0,1
23,NetworkManagementClient251,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Network/routeFilters/{routeFilterName}/routeFilterRules/{ruleName},Content-Type must be used,0,1
24,Azure Media Services193,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Media/mediaServices/{accountName}/mediaGraphs/{mediaGraphName},Content-Type must be used,0,1
25,Azure Media Services193,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Media/mediaServices/{accountName}/mediaGraphs/{mediaGraphName},Content-Type must be used,0,1
26,Azure Media Services193,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Media/mediaServices/{accountName}/mediaGraphs/{mediaGraphName},Content-Type must be used,0,1
27,Azure Media Services193,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Media/mediaServices/{accountName}/mediaGraphs/{mediaGraphName}/start,Content-Type must be used,0,1
28,Azure Media Services193,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Media/mediaServices/{accountName}/mediaGraphs/{mediaGraphName}/start,Content-Type must be used,0,1
29,Azure Media Services193,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Media/mediaServices/{accountName}/mediaGraphs/{mediaGraphName}/stop,Content-Type must be used,0,1
30,Azure Media Services193,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Media/mediaServices/{accountName}/mediaGraphs/{mediaGraphName}/stop,Content-Type must be used,0,1
31,Xero Files API,/Files/{FileId},Content-Type must be used,0,1
32,Xero Files API,/Files/{FileId}/Associations/{ObjectId},Content-Type must be used,0,1
33,Xero Files API,/Folders/{FolderId},Content-Type must be used,0,1
34,1Password Connect,/vaults/{vaultUuid}/items/{itemUuid},Content-Type must be used,0,1
35,api.datumbox.com,/1.0/AdultContentDetection.json,Content-Type must be used,0,1
36,api.datumbox.com,/1.0/CommercialDetection.json,Content-Type must be used,0,1
37,api.datumbox.com,/1.0/GenderDetection.json,Content-Type must be used,0,1
38,api.datumbox.com,/1.0/KeywordExtraction.json,Content-Type must be used,0,1
39,api.datumbox.com,/1.0/LanguageDetection.json,Content-Type must be used,0,1
40,api.datumbox.com,/1.0/ReadabilityAssessment.json,Content-Type must be used,0,1
41,SqlManagementClient382,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Sql/servers/{serverName}/databases/{databaseName}/backupShortTermRetentionPolicies,Content-Type must be used,0,1
42,SqlManagementClient382,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Sql/servers/{serverName}/databases/{databaseName}/backupShortTermRetentionPolicies/{policyName},Content-Type must be used,0,1
43,SqlManagementClient382,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Sql/servers/{serverName}/databases/{databaseName}/backupShortTermRetentionPolicies/{policyName},Content-Type must be used,0,1
44,SqlManagementClient382,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Sql/servers/{serverName}/databases/{databaseName}/backupShortTermRetentionPolicies/{policyName},Content-Type must be used,0,1
