,File name,Path,Rule,false-positive,true-positive
0,ShipEngine API,/v1/batches/external_batch_id/{external_batch_id},Underscores (_) should not be used in URI,0,1
1,ShipEngine API,/v1/insurance/shipsurance/add_funds,Underscores (_) should not be used in URI,0,1
2,Buy Marketing API,/merchandised_product,Underscores (_) should not be used in URI,0,1
3,Buy Marketing API,/merchandised_product/get_also_bought_products,Underscores (_) should not be used in URI,0,1
4,Buy Marketing API,/merchandised_product/get_also_viewed_products,Underscores (_) should not be used in URI,0,1
5,Fun Generators API,/qrcode/business_card,Underscores (_) should not be used in URI,0,1
6,Amazon AppConfig,	/applications/{Application}/environments/{Environment}/configurations/{Configuration}#client_id,Underscores (_) should not be used in URI,0,1
7,Amazon AppConfig,/applications/{ApplicationId}/configurationprofiles/{ConfigurationProfileId}/validators#configuration_version,Underscores (_) should not be used in URI,0,1
8,Amazon Kinesis,/#X-Amz-Target=Kinesis_20131202.DescribeLimits,Underscores (_) should not be used in URI,0,1
9,Amazon Kinesis,/#X-Amz-Target=Kinesis_20131202.ListShards,Underscores (_) should not be used in URI,0,1
10,Apacta,/companies/{company_id}/integration_feature_settings,Underscores (_) should not be used in URI,0,1
11,Apacta,/expense_files/{expense_file_id},Underscores (_) should not be used in URI,0,1
12,Apacta,/expenses/{expense_id}/original_files,Underscores (_) should not be used in URI,0,1
13,Apacta,/form_fields,Underscores (_) should not be used in URI,0,1
14,Apacta,/form_templates/{form_template_id},Underscores (_) should not be used in URI,0,1
15,Apacta,/invoice_lines,Underscores (_) should not be used in URI,0,1
16,Apacta,/payment_term_types,Underscores (_) should not be used in URI,0,1
17,Apacta,/time_entry_unit_types/{time_entry_unit_type_id},Underscores (_) should not be used in URI,0,1
18,Apacta,/time_entry_value_types/{time_entry_value_type_id},Underscores (_) should not be used in URI,0,1
19,Apacta,/vendor_products,Underscores (_) should not be used in URI,0,1
20,,,,,
21,,,Total violations,Total false positives,Total true positives
22,,,20,0,20
